"","site.pop","rep","ind","pop","site","site.rep","Date","branch","Stem_diameter_mm","Stem_length_mm","Leaf_WW_g","Leaf_dryweight_g","Stem_dryweight_g","Leaf_area_cm.2","leaf_number","Notes","Stem_area","cwd","ppt","ppt2018","cwd2018","Al_As","SLA","LDMC","leafsize","ind.id","LMF","ml_ms","log.ml_ms","log.Al_As"
"11","H1","5","a","1","H","H.5","7/17/18","h2",2.226666667,102.76,2.9436,1.2991,0.3666,97,13,"",3.89403900187547,690.0800103,1221.930018,759.229991018772,719.270004272461,24.9098686359542,74.6670772072974,0.441330343796711,7.46153846153846,"H1_5_a",0.779912349162514,3.54364429896345,0.549450122145542,1.39637143725828
"12","H1","5","a","1","H","H.5","7/17/18","h3",2.283333333,94.33,2.8235,1.229,0.34,89,15,"",4.09476059013965,690.0800103,1221.930018,759.229991018772,719.270004272461,21.7350924531011,72.4165988608625,0.435275367451744,5.93333333333333,"H1_5_a",0.783301465901848,3.61470588235294,0.558072965844199,1.33716149186002
"13","H3","2","a","3","H","H.2","7/18/18","h1",1.703333333,43.01,1.3557,0.6118,0.0977,48,10,"",2.27871059715819,671.70251,849.1050127,704.280000265688,684.149991989136,21.0645441592545,78.457012095456,0.45127978166261,4.8,"H3_2_a",0.862297392529951,6.26202661207779,0.796714908929887,1.32355206534929
"14","H3","2","a","3","H","H.2","7/18/18","h2",2.98,118.44,2.3236,1.006,0.5986,61,17,"",6.9746498502347,671.70251,849.1050127,704.280000265688,684.149991989136,8.74595876636693,60.6361829025845,0.432948872439318,3.58823529411765,"H3_2_a",0.626947525863144,1.6805880387571,0.225461268215736,0.941807425492085
"15","H3","2","a","3","H","H.2","7/18/18","h3",1.876666667,59.43,1.674,0.7091,0.1593,54,11,"",2.76607633935957,671.70251,849.1050127,704.280000265688,684.149991989136,19.5222377747183,76.1528698350021,0.423596176821983,4.90909090909091,"H3_2_a",0.81655918931368,4.45134965473949,0.648491709573406,1.29052959803915
"16","H3","5","c","3","H","H.5","7/18/18","h1",1.84,67.99,1.8799,0.7805,0.1684,55,12,"",2.6590440219984,671.70251,849.1050127,704.280000265688,684.149991989136,20.6841254018295,70.4676489429853,0.415181658598862,4.58333333333333,"H3_5_c",0.822531352091896,4.63479809976247,0.666030820234806,1.315637162109
"17","H3","5","c","3","H","H.5","7/18/18","h2",2.323333333,83.32,2.5124,1.0328,0.2858,72,11,"",4.23948329169407,671.70251,849.1050127,704.280000265688,684.149991989136,16.9832017361789,69.713400464756,0.411081038051266,6.54545454545455,"H3_5_c",0.783254967389656,3.61371588523443,0.557954004803412,1.23001956843302
"18","H3","5","c","3","H","H.5","7/18/18","h3",3.61,187.66,5.4526,2.4285,1.1659,143,20,"",10.2353874052119,671.70251,849.1050127,704.280000265688,684.149991989136,13.9711370306496,58.8840848260243,0.445383853574442,7.15,"H3_5_c",0.675634320053416,2.08294021785745,0.318676805508378,1.14523175228757
"19","H3","6","a","3","H","H.6","7/18/18","h1",1.796666667,38.89,0.9328,0.4292,0.0804,35,5,"",2.53527399903396,671.70251,849.1050127,704.280000265688,684.149991989136,13.8052139584662,81.547064305685,0.460120068610635,7,"H3_6_a",0.842229199372056,5.33830845771144,0.727403664545462,1.1400431418888
"20","H3","6","a","3","H","H.6","7/18/18","h2",1.266666667,21.08,1.0315,0.4488,0.0315,36,7,"",1.26012772060313,671.70251,849.1050127,704.280000265688,684.149991989136,28.5685327061684,80.2139037433155,0.43509452253999,5.14285714285714,"H3_6_a",0.934415990006246,14.247619047619,1.1537422944585,1.45588793537824
"21","H3","6","a","3","H","H.6","7/18/18","h3",1.653333333,38.92,0.8453,0.3213,0.0743,25,4,"",2.1468946054275,671.70251,849.1050127,704.280000265688,684.149991989136,11.6447262649961,77.8089013383131,0.380101739027564,6.25,"H3_6_a",0.812184024266936,4.32436069986541,0.635921911790943,1.06612928393991
"22","H1","4","b","1","H","H.4","7/18/18","h1",4.28,143.3,3.7861,1.7688,1.6281,122,14,"",14.3872377163798,690.0800103,1221.930018,759.229991018772,719.270004272461,8.47973755664741,68.973315241972,0.467182588943768,8.71428571428571,"H1_4_b",0.520710059171598,1.08641975308642,0.0359976532715189,0.928382411282233
"23","H1","4","b","1","H","H.4","7/18/18","h2",3.046666667,97.05,4.6018,1.9803,0.6793,116,10,"",7.29020538059051,690.0800103,1221.930018,759.229991018772,719.270004272461,15.9117602240452,58.5769832853608,0.430331609370246,11.6,"H1_4_b",0.744585651977741,2.91520683056087,0.464669372880521,1.20171822573738
"24","H1","1","c","1","H","H.1","7/23/18","h1",2.056666667,70.53,3.4637,1.4757,0.2095,128.145,9,"",3.32213823913921,690.0800103,1221.930018,759.229991018772,719.270004272461,38.5730486739779,86.8367554380972,0.426047290469729,14.2383333333333,"H1_1_c",0.875682411583195,7.04391408114559,0.84781404997668,1.58628396528454
"25","H1","1","c","1","H","H.1","7/23/18","h2",2.77,105.6,5.8253,2.4896,0.539,198.089,17,"",6.02628156793228,690.0800103,1221.930018,759.229991018772,719.270004272461,32.8708504186219,79.5665970437018,0.427377130791547,11.6522941176471,"H1_1_c",0.822029980849237,4.61892393320965,0.664540810122856,1.51681094008215
"26","H1","1","c","1","H","H.1","7/23/18","h3",1.983333333,47.03,2.0312,0.928,0.1274,74.269,12,"",3.08945094114799,690.0800103,1221.930018,759.229991018772,719.270004272461,24.0395466426804,80.03125,0.456872784560851,6.18908333333333,"H1_1_c",0.879287473943528,7.28414442700157,0.86237854821953,1.38092627312942
"27","H16","4","b","16","H","H.4","7/23/18","h1",1.856666667,77.3,1.881,0.81,0.1884,68.662,11,"",2.70743327648209,783.2500117,836.5575125,321.759994268417,1019.62001609802,25.360551115489,84.7679012345679,0.430622009569378,6.242,"H16_4_b",0.811298076923077,4.29936305732484,0.633404120421791,1.40415868705729
"28","H16","4","b","16","H","H.4","7/23/18","h2",2.156666667,95.68,1.4373,0.6481,0.2257,56.092,12,"",3.6530526653697,783.2500117,836.5575125,321.759994268417,1019.62001609802,15.3548292724445,86.5483721647894,0.450914909900508,4.67433333333333,"H16_4_b",0.741702906843671,2.87151085511741,0.458110462375389,1.18624499196453
"29","H16","4","b","16","H","H.4","7/23/18","h3",1.843333333,43.99,1.6575,0.7656,0.0991,65.482,10,"",2.6686869651505,783.2500117,836.5575125,321.759994268417,1019.62001609802,24.5371603545518,85.530303030303,0.461900452488688,6.5482,"H16_4_b",0.885393778188967,7.7255297679112,0.887928270283512,1.38982430110873
"30","H15","3","c","15","H","H.3","7/24/18","h1",1.52,43.48,0.8884,0.4003,0.0668,36.374,10,"",1.81458391671346,733.8575109,1014.252515,768.570013999939,728.239999771118,20.0453666898359,90.8668498626031,0.45058532192706,3.6374,"H15_3_c",0.856989937914793,5.99251497005988,0.77760912762956,1.30201400520693
"31","H15","3","c","15","H","H.3","7/24/18","h2",1.476666667,44.2,0.5561,0.2512,0.0593,23.8,13,"",1.71259560264636,733.8575109,1014.252515,768.570013999939,728.239999771118,13.8970343980935,94.7452229299363,0.451717317029311,1.83076923076923,"H15_3_c",0.809017713365539,4.23608768971332,0.626964941700896,1.14292213248746
"32","H15","3","c","15","H","H.3","7/24/18","h3",1.623333333,58.73,0.8697,0.3989,0.091,36.502,12,"",2.06968996598124,733.8575109,1014.252515,768.570013999939,728.239999771118,17.6364579236361,91.5066432689897,0.4586639070944,3.04183333333333,"H15_3_c",0.814247805674627,4.38351648351648,0.641822643988746,1.24641136658468
"33","H18","4","b","18","H","H.4","7/24/18","h1",2.34,69.13,2.4241,1.2231,0.2538,89.274,15,"",4.30052618349907,981.6850146,454.6725068,321.759994268417,1019.62001609802,20.7588551239475,72.9899435859701,0.504558392805577,5.9516,"H18_4_b",0.828153564899452,4.81914893617021,0.682970348413133,1.31720339796916
"34","H18","4","b","18","H","H.4","7/24/18","h2",1.883333333,45.77,1.5145,0.6935,0.122,51.311,9,"",2.78576365135334,981.6850146,454.6725068,321.759994268417,1019.62001609802,18.4190069301367,73.9884643114636,0.457906899966986,5.70122222222222,"H18_4_b",0.850398528510117,5.6844262295082,0.754686634734555,1.26526621129036
"35","H18","4","b","18","H","H.4","7/24/18","h3",1.643333333,25.3,1.9501,0.82,0.0554,70.441,10,"",2.1210026459794,981.6850146,454.6725068,321.759994268417,1019.62001609802,33.211179690666,85.9036585365854,0.420491256858623,7.0441,"H18_4_b",0.936714644733836,14.8014440433213,1.17030408765529,1.52128430239896
"36","H18","5","b","18","H","H.5","7/24/18","h1",2.386666667,78.68,3.3244,1.4022,0.2549,111.366,15,"",4.47376756630168,981.6850146,454.6725068,321.759994268417,1019.62001609802,24.8931126504774,79.4223363286264,0.421790398267356,7.4244,"H18_5_b",0.84617705630318,5.5009807767752,0.740440127306603,1.39607920445944
"37","H18","5","b","18","H","H.5","7/24/18","h2",1.633333333,72.77,1.2258,0.6323,0.1533,54.045,15,"",2.09526776616398,981.6850146,454.6725068,321.759994268417,1019.62001609802,25.7938392757054,85.4736675628657,0.515826399086311,3.603,"H18_5_b",0.804862525458248,4.12459230267449,0.615381026958843,1.41151598937164
"38","H18","5","b","18","H","H.5","7/24/18","h3",1.733333333,31.04,1.3719,0.6467,0.0702,53.176,11,"",2.35968514778876,981.6850146,454.6725068,321.759994268417,1019.62001609802,22.5352098562093,82.22668934591,0.47139004300605,4.83418181818182,"H18_5_b",0.902078393081322,9.21225071225071,0.964365748817312,1.35286160673668
"39","H16","5","b","16","H","H.5","7/24/18","h1",2.896666667,146.52,3.7808,1.6122,0.6503,134.011,16,"17 individual leaves, 16 whole leaves",6.59002291784314,783.2500117,836.5575125,321.759994268417,1019.62001609802,20.3354376260441,83.1230616548815,0.426417689377909,8.3756875,"H16_5_b",0.712574585635359,2.47916346301707,0.394305162808914,1.30825352301703
"40","H16","5","b","16","H","H.5","7/24/18","h2",1.983333333,59.87,1.6062,0.758,0.1419,71.313,9,"might have lost couple leaves before measurement",3.08945094114799,783.2500117,836.5575125,321.759994268417,1019.62001609802,23.0827423249198,94.0804749340369,0.471921304943344,7.92366666666667,"H16_5_b",0.842315812868096,5.34178999295278,0.72768681017458,1.36328740352316
"41","H16","5","b","16","H","H.5","7/24/18","h3",1.81,63.21,1.2513,0.5726,0.1357,51.578,8,"",2.57304292310638,783.2500117,836.5575125,321.759994268417,1019.62001609802,20.0455264608376,90.0768424729305,0.457604091744586,6.44725,"H16_5_b",0.808414513624171,4.21960206337509,0.625271496025843,1.30201746672445
"42","H22","4","c","22","H","H.4","7/24/18","h1",1.66,61.95,1.8349,0.7183,0.1346,57.029,9,"",2.16424317905801,993.3000148,471.685007,325.13999402523,1093.82999091968,26.3505508770147,79.3944034525964,0.391465474957763,6.33655555555556,"H22_4_c",0.842185484816508,5.33655274888559,0.727260806545341,1.42078969887862
"43","H22","4","c","22","H","H.4","7/24/18","h2",1.23,41.12,0.5352,0.2254,0.0442,22.581,9,"",1.188228881404,993.3000148,471.685007,325.13999402523,1093.82999091968,19.0039144422399,100.181898846495,0.421150971599402,2.509,"H22_4_c",0.836053412462908,5.09954751131222,0.707531642360996,1.27884306650897
"44","H22","4","c","22","H","H.4","7/24/18","h3",2.623333333,119.02,2.3276,1.0888,0.4405,80.763,19,"",5.40501416601881,993.3000148,471.685007,325.13999402523,1093.82999091968,14.9422365084175,74.1761572373255,0.467777968723148,4.25068421052632,"H22_4_c",0.711959720133394,2.47173666288309,0.393002199447212,1.174415606219
"45","H26","4","b","26","H","H.4","7/25/18","h1",1.536666667,59.07,0.6459,0.2471,0.1052,24.939,11,"original leaf # was '1' (typo)",1.85459559062003,985.8075147,560.4525084,294.329998731614,1035.59999847412,13.44713646799,100.926750303521,0.38256696082985,2.26718181818182,"H26_4_b",0.701390860062447,2.34885931558935,0.370857005584359,1.128629812327
"46","H26","4","b","26","H","H.4","7/25/18","h2",2.253333333,92.21,0.8057,0.3563,0.2725,32.217,9,"10 individual leaves, 9 whole leaves",3.98786790011696,985.8075147,560.4525084,294.329998731614,1035.59999847412,8.07875305976286,90.4209935447656,0.442224152910513,3.57966666666667,"H26_4_b",0.566634860050891,1.30752293577982,0.116449315738354,0.907344333416309
"47","H26","4","b","26","H","H.4","7/25/18","h3",1.42,31.67,1.3953,0.6353,0.0636,49.235,9,"",1.58367685667461,985.8075147,560.4525084,294.329998731614,1035.59999847412,31.0890443290199,77.4988194553754,0.45531426933276,5.47055555555556,"H26_4_b",0.908999856918014,9.98899371069182,0.999521739686848,1.49260737212321
"48","H1","4","b","1","H","H.4","7/25/18","h1",1.576666667,60.73,0.8712,0.4275,0.092,37.869,12,"duplicate?",1.95240384192274,690.0800103,1221.930018,759.229991018772,719.270004272461,19.3960896751291,88.5824561403509,0.490702479338843,3.15575,"H1_4_b",0.822906641000963,4.64673913043478,0.667148291718636,1.2877141833484
"49","H1","4","b","1","H","H.4","7/25/18","h2",2.623333333,147.98,2.7264,1.3357,0.5397,101.961,16,"duplicate?",5.40501416601881,690.0800103,1221.930018,759.229991018772,719.270004272461,18.8641503737449,76.3352549225125,0.489913438967136,6.3725625,"H1_4_b",0.712221392769543,2.47489345932926,0.393556507907439,1.27563724970115
"50","H1","4","b","1","H","H.4","7/25/18","h3",2.086666667,89.22,2.1754,1.1599,0.2203,100.429,17,"duplicate?",3.41976323086523,690.0800103,1221.930018,759.229991018772,719.270004272461,29.3672377940009,86.5841882920942,0.533189298519812,5.90758823529412,"H1_4_b",0.840385451383857,5.2650930549251,0.721406051282826,1.46786309983442
"51","H3","1","b","3","H","H.1","7/25/18","h1",2.016666667,97.84,1.0396,0.4777,0.1762,40.351,12,"",3.19417069836205,671.70251,849.1050127,704.280000265688,684.149991989136,12.6326999432722,84.4693322168725,0.45950365525202,3.36258333333333,"H3_1_b",0.730539837895703,2.711123723042,0.433149337207325,1.10149618073355
"52","H3","1","b","3","H","H.1","7/25/18","h2",2.496666667,132.4,1.7214,0.7622,0.3922,57.955,14,"",4.89565727979761,671.70251,849.1050127,704.280000265688,684.149991989136,11.8380427157671,76.0364733665704,0.442779133263623,4.13964285714286,"H3_1_b",0.66025641025641,1.94339622641509,0.288561355104383,1.07327990272389
"53","H3","1","b","3","H","H.1","7/25/18","h3",2.076666667,101.01,1.5041,0.7177,0.246,53.647,13,"",3.38706448732388,671.70251,849.1050127,704.280000265688,684.149991989136,15.8387890755474,74.7485021596767,0.477162422711256,4.12669230769231,"H3_1_b",0.744733838331431,2.91747967479675,0.465007839128937,1.19972197536519
"54","H3","6","a","3","H","H.6","7/25/18","h1",2.906666667,156.93,3.747,1.5119,0.6068,115.218,15,"duplicate?",6.63560219126421,671.70251,849.1050127,704.280000265688,684.149991989136,17.3636087093474,76.2074211257358,0.403496130237523,7.6812,"H3_6_a",0.713597961013829,2.49159525379038,0.396477494920592,1.23963999040751
"55","H3","6","a","3","H","H.6","7/25/18","h2",2.12,66.33,2.1816,0.9758,0.1655,75.673,10,"duplicate?",3.52989350557349,671.70251,849.1050127,704.280000265688,684.149991989136,21.4377572242666,77.5497028079525,0.447286395306197,7.5673,"H3_6_a",0.854989923771138,5.89607250755287,0.77056281566451,1.33117934836804
"56","H3","6","a","3","H","H.6","7/25/18","h3",1.693333333,44.15,1.8298,0.7745,0.1029,58.951,9,"duplicate?",2.2520332395467,671.70251,849.1050127,704.280000265688,684.149991989136,26.1767894739715,76.1149128469981,0.42327030276533,6.55011111111111,"H3_6_a",0.882721677684067,7.52672497570457,0.876606047332792,1.4179163802117
"57","H15","5","c","15","H","H.5","7/25/18","h1",1.353333333,24.05,1.1718,0.4968,0.0457,39.881,7,"",1.43846546220008,733.8575109,1014.252515,768.570013999939,728.239999771118,27.724683732763,80.2757648953301,0.423963133640553,5.69728571428571,"H15_5_c",0.915760368663595,10.8708971553611,1.03626538709867,1.44286660066793
"58","H15","5","c","15","H","H.5","7/25/18","h2",1.53,26.8,1.9698,0.7713,0.0698,58.253,6,"",1.83853856069709,733.8575109,1014.252515,768.570013999939,728.239999771118,31.6844048013403,75.5257357707766,0.391562595187329,9.70883333333333,"H15_5_c",0.917013434787778,11.0501432664756,1.04336790873936,1.50084555321851
"59","H15","5","c","15","H","H.5","7/25/18","h3",1.016666667,18.59,0.807,0.3616,0.0246,29.344,8,"",0.811796268866188,733.8575109,1014.252515,768.570013999939,728.239999771118,36.147000331726,81.1504424778761,0.448079306071871,3.668,"H15_5_c",0.936302433972035,14.6991869918699,1.16729331469995,1.55807226308473
"60","H22","6","c","22","H","H.6","7/25/18","h1",2.143333333,72.2,1.4889,0.561,0.1749,44.686,12,"",3.60802316841677,993.3000148,471.685007,325.13999402523,1093.82999091968,12.3851754587287,79.6541889483066,0.376788232923635,3.72383333333333,"H22_6_c",0.762331838565023,3.20754716981132,0.506173051777485,1.09290216354341
"61","H22","6","c","22","H","H.6","7/25/18","h2",2.743333333,99.34,1.7613,0.7483,0.3222,60.498,15,"",5.91081058318393,993.3000148,471.685007,325.13999402523,1093.82999091968,10.2351444270799,80.8472537752238,0.424856639981832,4.0332,"H22_6_c",0.699019149929939,2.32247051520795,0.365950209139836,1.01009397532694
"62","H22","6","c","22","H","H.6","7/25/18","h3",1.596666667,50.58,0.6758,0.2864,0.0844,25.68,12,"",2.00225044537017,993.3000148,471.685007,325.13999402523,1093.82999091968,12.8255683795103,89.6648044692737,0.42379402189997,2.14,"H22_6_c",0.772384034519957,3.39336492890995,0.530630567010163,1.10807662045951
"63","H1","3","a","1","H","H.3","7/26/18","h1",2.556666667,86.3,3.2365,1.2739,0.2773,97.945,19,"",5.13379000297113,690.0800103,1221.930018,759.229991018772,719.270004272461,19.0784975511884,76.8859408116807,0.393604202070138,5.155,"H1_3_a",0.821235172769469,4.59394157951677,0.66218546803471,1.28054417063431
"64","H1","3","a","1","H","H.3","7/26/18","h2",1.723333333,53.58,1.163,0.5355,0.1044,49.201,10,"",2.33253655127923,690.0800103,1221.930018,759.229991018772,719.270004272461,21.0933457711592,91.8786181139122,0.460447119518487,4.9201,"H1_3_a",0.836849507735584,5.12931034482759,0.710058976501631,1.32414547185454
"65","H1","3","a","1","H","H.3","7/26/18","h3",2.323333333,58.55,3.954,1.5637,0.209,118.671,15,"",4.23948329169407,690.0800103,1221.930018,759.229991018772,719.270004272461,27.9918546282511,75.891155592505,0.395472938796156,7.9114,"H1_3_a",0.882100750267953,7.48181818181818,0.874007150054045,1.44703167403357
"66","H3","4","b","3","H","H.4","7/26/18","h1",3.58,194.9,2.422,1.1085,1.0998,71.541,15,"",10.0659770213671,671.70251,849.1050127,704.280000265688,684.149991989136,7.10720875362023,64.5385656292287,0.457679603633361,4.7694,"H3_4_b",0.501969841054205,1.00791052918712,0.00342198210464665,0.851699071769131
"67","H3","4","b","3","H","H.4","7/26/18","h2",2.33,56.69,1.9318,0.8624,0.1762,65.097,12,"",4.26384808926841,671.70251,849.1050127,704.280000265688,684.149991989136,15.2671949462368,75.48353432282,0.446423025157884,5.42475,"H3_4_b",0.830348546119777,4.894438138479,0.689702843766634,1.18375925111823
"68","H3","4","b","3","H","H.4","7/26/18","h3",1.573333333,32.02,0.6075,0.2981,0.058,23.755,7,"",1.94415715955773,671.70251,849.1050127,704.280000265688,684.149991989136,12.2186624076235,79.6880241529688,0.490699588477366,3.39357142857143,"H3_4_b",0.837124403257512,5.13965517241379,0.710933982469693,1.08702366574423
"69","H1","2","b","1","H","H.2","7/26/18","h1",1.706666667,49.91,0.921,0.463,0.0998,36.343,6,"",2.28763795806762,690.0800103,1221.930018,759.229991018772,719.270004272461,15.8866921541638,78.4946004319655,0.50271444082519,6.05716666666667,"H1_2_b",0.822672352523099,4.63927855711423,0.666450449730582,1.20103348004301
"70","H1","2","b","1","H","H.2","7/26/18","h2",2.253333333,75.32,2.6536,1.2346,0.2542,92.517,12,"",3.98786790011696,690.0800103,1221.930018,759.229991018772,719.270004272461,23.1996150116423,74.9368216426373,0.465254748266506,7.70975,"H1_2_b",0.829258463191832,4.85680566483084,0.686350726413101,1.36548077800699
"71","H1","2","b","1","H","H.2","7/26/18","h3",1.553333333,50.35,1.05,0.5285,0.0947,47.946,8,"",1.89504359441708,690.0800103,1221.930018,759.229991018772,719.270004272461,25.3007372185273,90.720908230842,0.503333333333333,5.99325,"H1_2_b",0.848042362002567,5.58078141499472,0.746695012640172,1.40313317592972
"72","H15","1","b","15","H","H.1","7/26/18","h1",2.046666667,55.49,1.8966,0.8891,0.1457,71.064,11,"",3.2899107344959,733.8575109,1014.252515,768.570013999939,728.239999771118,21.6005860751382,79.9280170959397,0.468786249077296,6.46036363636364,"H15_1_b",0.85919984538075,6.10226492793411,0.785491058475558,1.33446553475026
"73","H15","1","b","15","H","H.1","7/26/18","h2",2.606666667,99.04,1.4981,0.7394,0.4086,44.835,15,"",5.33655362884775,733.8575109,1014.252515,768.570013999939,728.239999771118,8.40148963511506,60.6370029753855,0.493558507442761,2.989,"H15_1_b",0.644076655052265,1.80959373470387,0.257581083940659,0.924356295937347
"74","H15","1","b","15","H","H.1","7/26/18","h3",2.633333333,99.42,1.6943,0.9331,0.4153,60.47,12,"",5.4462999294695,733.8575109,1014.252515,768.570013999939,728.239999771118,11.1029507708163,64.8054870860572,0.550728914595998,5.03916666666667,"H15_1_b",0.692005339661821,2.2468095352757,0.351566258318238,1.04543841420816
"75","H16","1","c","16","H","H.1","7/26/18","h1",1.343333333,25.26,1.7872,0.728,0.0479,61,7,"",1.41728589173237,783.2500117,836.5575125,321.759994268417,1019.62001609802,43.0400107387218,83.7912087912088,0.40734109221128,8.71428571428571,"H16_1_c",0.938265240366026,15.1983298538622,1.18179586589847,1.63387237101723
"76","H16","1","c","16","H","H.1","7/26/18","h2",1.67,47.82,1.7015,0.7004,0.0844,63,10,"",2.19039693789914,783.2500117,836.5575125,321.759994268417,1019.62001609802,28.7619101862079,89.9486007995431,0.411636791066706,6.3,"H16_1_c",0.892456676860347,8.29857819905213,0.919003690785753,1.45881772579224
"77","H16","1","c","16","H","H.1","7/26/18","h3",1.446666667,25.41,1.3761,0.558,0.0467,48,8,"",1.64371618370069,783.2500117,836.5575125,321.759994268417,1019.62001609802,29.2021216776803,86.0215053763441,0.405493786788751,6,"H16_1_c",0.922771622292046,11.948608137045,1.07731731837147,1.46541440622358
"78","H18","1","c","18","H","H.1","7/26/18","h1",1.453333333,28.2,0.9767,0.4369,0.1022,38,9,"",1.65890054667461,981.6850146,454.6725068,321.759994268417,1019.62001609802,22.9067378850251,86.9764248111696,0.44732261697553,4.22222222222222,"H18_1_c",0.810424782044148,4.27495107632094,0.630931148910875,1.35996324635201
"79","H18","1","c","18","H","H.1","7/26/18","h2",1.63,46.01,0.9951,0.4997,0.1592,40,8,"",2.08672438033068,981.6850146,454.6725068,321.759994268417,1019.62001609802,19.1687988969877,80.0480288172904,0.502160586875691,5,"H18_1_c",0.758385187433601,3.13881909547739,0.496766286040937,1.28259490115388
"80","H18","1","c","18","H","H.1","7/26/18","h3",1.5,58.59,1.2727,0.5273,0.09,49,8,"",1.76714586764426,981.6850146,454.6725068,321.759994268417,1019.62001609802,27.7283278631213,92.9262279537265,0.414316021057594,6.125,"H18_1_c",0.854203790701442,5.85888888888889,0.767815261892139,1.44292368055098
"81","H18","2","a","18","H","H.2","7/26/18","h1",1.9,98.43,1.1551,0.5066,0.2203,49.083,10,"",2.83528736986479,981.6850146,454.6725068,321.759994268417,1019.62001609802,17.3114727352454,96.8870904066324,0.438576746602026,4.9083,"H18_2_a",0.696932177741092,2.29959146618248,0.361650688303762,1.23833401608933
"82","H18","2","a","18","H","H.2","7/26/18","h2",1.913333333,67.39,1.183,0.5171,0.196,46.801,7,"",2.8752205021486,981.6850146,454.6725068,321.759994268417,1019.62001609802,16.2773602807251,90.5066718236318,0.437109044801352,6.68585714285714,"H18_2_a",0.725143738606086,2.63826530612245,0.421318466415594,1.21158397620013
"83","H18","2","a","18","H","H.2","7/26/18","h3",2.47,115.2,2.0818,0.9218,0.3724,82.881,14,"",4.79163565507149,981.6850146,454.6725068,321.759994268417,1019.62001609802,17.2970162938575,89.912128444348,0.442789893361514,5.92007142857143,"H18_2_a",0.712254674702519,2.47529538131042,0.393627031479197,1.23797119452364
